,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
177,Alta Guardia,"Somos la primera empresa de alarmas de seguridad ""sharing"", donde el cliente escoge el periodo de tiempo por el cual necesita la alarma y paga solo por el tiempo reservado. Sin comprar la alarma, contratos de larga duración ni cuotas fijas mensuales.",Saas,Business,HardwareAdditive manufacturing Pre-seed,1.0,,,Founded: 2020,,0.0,
178,Altanetica,"Altanetica is the first operator to offer very high-speed symmetrical, radio connection Internet access of up to 40 Mb at very competitive prices.",,Consumer,ICT & MobileCybersecurity Undisclosed Funding,-1.0,,,Founded: 2011,,10.0,
179,Alteraid,We are a team of passionate people whose goal is to improve patients' life through disruptive products. We build great solutions to solve your daily problems. Our products are designed for patients willing to improve their quality of life.,"R+D+I Services, Saas","Business, Consumer",HealthtechAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2011,,5.0,
180,Alumniverse,We develop a software that enables educational institutions to set up and run an exclusive online platform for their alumni community to keep its members connected and engaged. We also offer all the tools so that this community can be managed in an efficient and centralized way.,R+D+I Services,Business,Business Services & SoftwareConnectivity Seed,2.0,,,Founded: 2020,,8.0,
181,Amenitiz,"Amenitiz is an all-in-one platform to help owners grow and manage their vacation properties by making attracting guests,managing bookings and crafting exceptional experiences, simple and easy.",Others,"Business Angels, Eight Roads, Chalfen Ventures, Point9, Otium, Backed VC, Guillaume Rostand, Otium Capital, Point Nine, n.a.",Business Services & SoftwareCloud & Edge Computing Series C,5.0,,,Founded: 2017,,0.0,
182,Amphora Logistics,"Amphora provides a full logistic solution for Ecommerce shops. To put it simply, you sell and we do the rest. We cover all the stages of your fulfillment, including receiving and storing your product in our network of warehouses, preparing your orders (pick & pack) and shipping them to your final customer. We even manage your returns so that you can focus all your attention in growing your business. In Amphora we have developed an in-house software where you can manage all your logistics.","Saas, Subscription",Business,Logistic TechAI & Big Data Seed,2.0,,,Founded: 2020,,6.0,
183,Anaconda BioMed,Development of medical devices for the treatment of acute ischaemic strokes.,"Development & Manufacturing, R+D+I Services",Consumer,HealthtechAutomation Series B,4.0,,,Founded: 2015,,12.0,
184,Angiotheragnostics,AtG develops novel classes of drugs and biomarkers to prevent cancer therapeutic resistance,"R+D+I Services, Software licence",Business,HealthtechNew biological design Undisclosed Funding,-1.0,,,Founded:,,0.0,
185,Aniling,"Aniling is developing a proprietary, first-in-class solution that enables simultaneous genome and epigenome analysis for research and clinical use to advance personalized medicine. The patented technology is compatible with all next generation sequencing platforms and produces analyses with significantly higher quality and at lower costs than existing solutions. The company is currently launching the solution in the research market and initiating clinical validation studies in specific diseases.","R+D+I Services, Other types of licence","Business, Consumer",HealthtechOmic SciencesCloud & Edge Computing  Seed,2.0,,,Founded: 2014,,7.0,
186,Animal Hero,"Animal Hero is a therapeutic video game for children with Down Syndrome and other disabilities, designed to improve and strengthen certain cognitive abilities and encourage a more fun and creative way to learn.",,,GamingAR/VR Pre-seed,1.0,,,Founded: 2019,,0.0,
187,AnsuR Solutions Barcelona,"AnsuR develops and sells the RAIDO system, target for mission-critical visual situational awareness. An operationally relevant picture can say more than a thousand words.",,Business,Business Services & SoftwareRobotics & Collaborative RoboticsHardware  Undisclosed Funding,-1.0,,,Founded: 2013,,0.0,
188,Antfluence,Antfluence is a Location intelligence and Proximity Marketing system that allows our customers to monitor the behavior of people gathered in a limited space and influence their purchase and behaviour decisions.,"Saas, Software licence",Business,ICT & MobileAI & Big Data Seed,2.0,,,Founded: 2012,,5.0,
189,Antidote by Sekg,"Antidote's mission is to revolutionise how user experiences are measured, analysed and improved in digital entertainment.  A cloud based UX / playtesting solution to help videogame studios manage their own playtests and UX studies remotely, getting faster and more objective insights on players experience that will save costs and time.  Our platform and services will help studios to create more engaging experiences while optimizing their investments.","Saas, Other types of licence","Business, Consumer",GamingAI & Big Data Seed,2.0,,,Founded: 2015,,5.0,
190,Aortyx,Design and development  of a new generation of medical devices to treat aortic diseases.,"Development & Manufacturing, Saas, Software licence",Business,HealthtechFrontier materials Series A,3.0,,,Founded: 2018,,5.0,
191,Apambu,Apambu es una solución SaaS que proporciona una visión global de toda la información sobre RSC gracias a los indicadores ambientales laborales sociales económicos y de gobernanza más relevantes. Permite a los usuarios cumplir con las obligaciones legales descargar informes de acuerdo con las normas internacionales de información y orienta su estrategia mediante el desarrollo de planes de acción.,Subscription,Business,Green & EnergytechCloud & Edge Computing Undisclosed Funding,-1.0,,,Founded: 2020,,5.0,
192,AparCar,"Gestionem i instal.lem punts de recàrrega per a vehicles elèctrics. Tenim una solució única, patentada, d'aplicació a parkings comunitaris (és el nostre camp principal d'actuació). Fem una preinstal.lació que prepara el parking perquè els veïns puguin connectar els seus vehicles.","Development & Manufacturing, Subscription",Consumer,Sustainable mobilityElectric Vehicle & Micromobility Pre-seed,1.0,,,Founded: 2016,,4.0,
193,Aparentia,"Augmented Reality and Virtual Reality Development. Special projects, holograms, special events where technology is added value.",Consultancy & Agency,"Business, Consumer",ICT & MobileAR/VR Pre-seed,1.0,,,Founded: 2014,,1.0,
194,Apartool,"Apartool is the online global provider of mid-term serviced apartments for Business Travelers Apartool, through its renewed platform, allows you to book more than 100,000 Apartool Homes for rent and monthly payment throughout the world. All of them fully furnished and with supplies, Wi-Fi and a weekly cleaning included.",Marketplace,,Traveltech & LeisureCloud & Edge ComputingBusiness Services & Software Ecommerce Sustainable mobility Proptech  Pre-seed,1.0,,,Founded: 2015,,0.0,
195,Apartum,Apartum: Compare vacation rental prices from the best sites and save up to 60%.,Advertising,"Business, Consumer",Traveltech & LeisureAI & Big Data Series A,3.0,,,Founded: 2013,,8.0,
196,Apisearch,Search as a Service for e-commerce companies.,"Saas, Subscription",Business,EcommerceCloud & Edge Computing Pre-seed,1.0,,,Founded: 2021,,3.0,
197,Apolo Analytics,"Apolo software is constantly analyzing data traffic and compares it with big data information about cybernetic attacks. Moreover, creates feedback from information is receiving so it is able to take decisions if any variation of this traffic occurs. Apolo brings companies to top level of cybersecurity protection.","Consultancy & Agency, Saas, Software licence",Business,Business Services & SoftwareAI & Big Data Pre-seed,1.0,,,Founded: 2020,,5.0,
198,App&Town,"Create innovative services which add value to society. Mass Factory develops systems based on mobile apps with geolocation and on the cloud processing to improve the mobility, the access to information and the social inclusion of everybody. Mass Factory fulfills Universal Design principles for easing the access to new technologies and new services to every kind of collective.","Consultancy & Agency, Marketplace, Saas, Software licence","Business, Consumer",Sustainable mobilityCloud & Edge ComputingICT & Mobile AR/VR AI & Big Data IoT & Sensors  Series A,3.0,,,Founded: 2012,,6.0,
199,AppNps,"The company's purpose is to research, study and develop nanoparticles and their applications. This includes design, production and characterization of nanoparticles, consultancy activities and dissemination, as well as training and education in nanoscience, nanotechnology, and related areas.  AppNP's core project  is the commercial exploitation of a patent based on the use of  safe and sustainable engineered iron oxide nanoparticles additive for enhanced biogas production, named BioGAS+.","Development & Manufacturing, Marketplace, R+D+I Services",Business,Green & EnergytechFrontier materialsEdtech  Pre-seed,1.0,,,Founded: 2013,,2.0,
200,Apparattum,Enginyeria de producte IoT a mida per a empreses. Des del prototipatge fins a la industrialització. Disseny i desenvolupament electrònic i mecànic. Desenvolupament de firmware. Disseny i desenvolupament de software i app. Prototipatge . Gestió de proveïdors i fabricació Taller d?ensamblatge. Gestió de motlles. Certificacions de producte. Assessors acreditats d?ACCIÓ,"Ecommerce & Trade, Others",Business,HardwareIoT & SensorsHealthtech Proptech Traveltech & Leisure AI & Big Data  Series B,4.0,,,Founded: 2020,,7.0,
201,Appclon,Appclon is a smart and fast way to build your app. Simply clone a successful one,,,ICT & MobileNo technology assigned Undisclosed Funding,-1.0,,,Founded: 2017,,0.0,
202,Appfutura,AppFutura is a community for mobile app developers in which they can meet customers looking for someone to develop an app project.,"Advertising, Marketplace",Business,ICT & MobileCloud & Edge Computing Seed,2.0,,,Founded: 2014,,5.0,
203,Appnormals team,"Appnormals Team is an indie developer that started crafting mobile games because of their passion for pixel art and love for old school games. Appnormals intends to make out-of-the-box videogames with original mechanics, a sense of humour and a beautiful retro look and feel.",Development & Manufacturing,"Business, Consumer",GamingCloud & Edge Computing Seed,2.0,,,Founded: 2016,,2.0,
204,Apptimiza,"iRCP of APPTIMIZA is a  medical software development company. It optimizes, facilitates and simplifies the work of professionals through their mobile device. It develops medical applications for Emergencies.","Development & Manufacturing, Marketplace, R+D+I Services",Business,HealthtechAutomation Pre-seed,1.0,,,Founded: 2012,,2.0,
205,Aprop Online,Construim i implantem plataformes On-Line per afavorir la venda en linia dels productes de proximitat del comerç local de cada municipi.  Ajudem als comerços a fer el pas cap a la digitalització.,"Marketplace, Saas",Business,Digital Content & MediaCloud & Edge ComputingBusiness Services & Software Ecommerce Logistic Tech  Series A,3.0,,,Founded: 2019,,0.0,
206,Aptadel Therapeutics,Aptadel Therapeutics is a biotech company focused on the development of cancer treatment based on aptamer technology,,Business,HealthtechOmic Sciences Series B,4.0,,,Founded: 2020,,2.0,
207,Aqtiva,Aqtiva is the first 'intake data quality' platform on the market. It is open to any database technology. It is scalable and non-invasive. It is applicable to both Real Time / Near Real Time and Batch processes.,Saas,Business,Business Services & SoftwareAI & Big DataIoT & Sensors  Undisclosed Funding,-1.0,,,Founded: 2020,,21.0,
208,Aquí Tu Reforma,We are selecting housing reform entrepreneurs who are decided to grow their business and be part of the housing renovation revolution.,"Consultancy & Agency, Saas",Consumer,ProptechAutomation Series A,3.0,,,Founded: 2018,,9.0,
209,Arbolus,Arbolus is a professional networking platform designed to help businesses and professionals work together.,Subscription,Business,ICT & MobileAI & Big Data Series C,5.0,,,Founded: 2019,,20.0,
210,Arspect,Rent art online for hotels and enterprises.,,Consumer,Fashion & DesignAR/VR Pre-seed,1.0,,,Founded: 2019,,4.0,
211,Artest,"Artest is a web platform for personalized online concerts via streaming. In this platform, musicians (artists) will be able to transmit and monetize their concerts in a secure way, in two modalities: private concerts (from musician to spectator) or mass concerts (concerts of up to 10,000 spectators), thus being able to create, manage and monetize their own concerts.","Marketplace, Saas","Business, Consumer",Digital Content & MediaConnectivity Undisclosed Funding,-1.0,,,Founded: 2021,,3.0,
212,Artesta,Artesta Store is an online platform specialized in home decor that sells wall art and posters. We address ourselves to everybody who wants to get a special touch to their decor homes.,"Marketplace, Software licence",,Fashion & DesignAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2019,,0.0,
213,Artificial Intelligence,"Built and commercialization of artificial intelligence products & solutions in SaaS model (cloud & edge) for different sectors (manufacturing, energy&utilities, financial services, foodtech, ...). High specialization in deep learning technologies applied to image&video recognition. Main partnerships with Google (cloud) and NVIDIA (edge). Customers in several sectors and countries. Own AI platform.",Development & Manufacturing,Business,Business Services & SoftwareAI & Big DataFintech Foodtech ICT & Mobile Legaltech Logistic Tech Robotics & Collaborative Robotics IoT & Sensors Cloud & Edge Computing  Seed,2.0,,,Founded: 2011,,15.0,
214,"Ascidea, BioInnove","Genomic data generation and computational interpretation services for R&D and preventive medicine. Special focus on health prevention and wellness improvement through DNA-based personalized treatments (nutrition, personal training and cosmetics).","Ecommerce & Trade, R+D+I Services, Saas, Subscription","Business, Consumer",HealthtechOmic SciencesCloud & Edge Computing  Seed,2.0,,,Founded: 2011,,6.0,
215,Ascil Biopharm,"Ascil Biopharm develops develop proprietary miniaturized injectable and locally acting therapeutics with advanced drug delivery systems (DDS) formulations and medical devices to enhance the safety, effectiveness and convenience of administration of drugs for chronic high burden diseases.  The company , led by Roland Chérif-Cheikh*, pioneer in commercial  therapeutic peptides delivery, has  built a pipeline of  products  to sustain both partners and client's business  with its unique platform .","Consultancy & Agency, Development & Manufacturing, R+D+I Services",Business,HealthtechBioengineering & Regenerative medicineAdditive manufacturing Frontier materials Omic Sciences  Series B,4.0,,,Founded: 2012,,24.0,
216,Assembler Institute of Technology,"They offer masters and executive programs based 100% on real projects, designed by programmers and CTOs to train quality programmers.",Development & Manufacturing,Consumer,EdtechCybersecurity Pre-seed,1.0,,,Founded: 2019,,0.0,
217,Assistoffice Bpo,Online administrator for self-employed workers and SMEs.,Consultancy & Agency,"Business, Consumer",Business Services & SoftwareCloud & Edge Computing Pre-seed,1.0,,,Founded: 2011,,1.0,
218,Astech,"Machinery for the food industry, specialized on designing and manufacturing machinery for the automatic sawing of food.",Development & Manufacturing,Business,FoodtechRobotics & Collaborative Robotics Pre-seed,1.0,,,Founded: 2012,,25.0,
219,Astrea Materials,"Astrea was founded in has in 2016 upon the development of a nanotechnology gold-based catalyst capable of removing air pollutants at room temperature in the presence of humidity. Generally speaking, current technology imposes limitations or it does not even provide a viable solution due sensitivity to humidity. This results in the creation of an interesting market in diverse air purification applications such as Escape Hoods , Diving Bells and Life Support Systems in the Space and Defence.",Development & Manufacturing,Business,Green & EnergytechFrontier materials Pre-seed,1.0,,,Founded: 2016,,4.0,
220,Atiko,HolaPLace is a company that put in contact people who want to enjoy a terrace or private space for an afternoon with people who have them.,"Marketplace, Others",,Traveltech & LeisureAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2019,,0.0,
221,Atlantis IT,"We are an innovative ICT services company, with our own engineering, specialized in providing multiple device solutions to help companies, that base their business models on the management and/or exploitation of mobile resources (eg vans, containers, machinery, boxes, livestock, valuables assets, etc.), to improve their competitiveness thanks to our experience, reliability and customization capacity on IoT technology and geolocation.","Ecommerce & Trade, Marketplace, Saas, Subscription","Business, Consumer",Sustainable mobilityIoT & SensorsHardware ICT & Mobile Logistic Tech AR/VR AI & Big Data Cybersecurity Cloud & Edge Computing Connectivity Electric Vehicle & Micromobility  Pre-seed,1.0,,,Founded: 2014,,9.0,
222,Atomian,"Atomian is a technology company that develops disruptive software products based on cognitive computing (AI), that empowers organizations with unprecedented data access tools through natural language.","Saas, Software licence",Business,ICT & MobileAI & Big DataHealthtech Business Services & Software Legaltech  Series A,3.0,,,Founded: 2014,,12.0,
223,Atravo,Atravo is a one-stop tCommerce platform empowering autonomous gowth of tour or activity businesses.,Consultancy & Agency,"Business, Consumer",Traveltech & LeisureAI & Big Data Pre-seed,1.0,,,Founded: 2021,,0.0,
224,Aulart,Access the knowledge of professional music producers & industry music leaders,Software licence,Consumer,EdtechAI & Big Data Seed,2.0,,,Founded: 2017,,0.0,
225,Aumenta Solutions,"Aumenta Solutions provides augmented reality applications to industry, engineering and architecture professionals. Our developments provide solutions to unresolved issues with conventional technologies, and increase productivity and efficiency in key business processes. Aumenta Solutions has a team of professional and highly-qualified technology partners who offer the best augmented reality solution for your business.","Consultancy & Agency, Development & Manufacturing, R+D+I Services",Business,Business Services & SoftwareAR/VRICT & Mobile AI & Big Data IoT & Sensors Automation  Seed,2.0,,,Founded: 2013,,4.0,
226,Aurocis,"Desenvolupament aplicacions mèdiques d'una plataforma pròpia d'unió de fàrmacs a nanopartícules d'or.  El primer producte del pipeline, Aurocis, està basat en l'unió de nanopartícules d'or al fàrmac antitumoral cisplatí.",Other types of licence,Business,HealthtechFrontier materials Series A,3.0,,,Founded: 2011,,2.0,
227,Authenticitys,"Authenticitys is a platform that connects visitors to local, unforgettable experiences that improve the city. We design experiences with our community of entrepreneurs to make sure that every visit has a positive impact and to develop the local economy by making initiatives that arise from society itself visible.","Consultancy & Agency, Marketplace, Subscription","Business, Consumer",Traveltech & LeisureDLT/BlockchainEcommerce Green & Energytech Sustainable mobility Sports AR/VR AI & Big Data Omic Sciences  Seed,2.0,,,Founded: 2014,,5.0,
228,AutoCloud,"The business model of AutoCloud is the intermediation through a website between car brands, leasing companies and customers or users. The way to monetize is through the commissions generated from the sales of the renting service contracted through our website. We will initially develop this service in the Spanish territory and we believe in its scalability since our value is the platform itself and the technological resource it offers. It is also important to highlight our extensive experience i","Marketplace, Saas, Software licence","Business, Consumer",Sustainable mobilityCloud & Edge Computing Pre-seed,1.0,,,Founded: 2018,,17.0,
229,AutoDiscovery,"We develop and commercialise AutoDiscovery, an automated intelligent exploratory data analysis software that helps biomedical researchers and data scientists in general at unveiling  associations with high clinical/business relevance and statistical significance that are hidden in the data files of their studies.","Consultancy & Agency, Saas, Software licence, Subscription",Business,HealthtechAI & Big DataICT & Mobile Digital Health  Seed,2.0,,,Founded: 2014,,3.0,
230,Autoresp Med,Respiratory health medical devices I+D+I and manufacturing.,"Development & Manufacturing, R+D+I Services, Other types of licence","Business, Consumer",HealthtechAutomation Pre-seed,1.0,,,Founded: 2021,,9.0,
231,Avantled,"Focus on state of the art LED lighting systems. Tailor-made project experience. Over 20 years' experience in lighting projects, now performed 100% with LED systems.",Development & Manufacturing,Business,Green & EnergytechAutomation Pre-seed,1.0,,,Founded: 2014,,3.0,
232,Avatar Cognition,Avatar Cognition is AI LAB team solving the grand AI problem: General Intelligence. Our Computational Fractal Cognition Model is a novel patent-pending computational science and model of the living mind that synthesizes the computational workings produced by neuron-based beings. And its corresponding AI algorithm and technology is a working plausible candidate to be a Master Algorithm for General Intelligence. We want to lead a new era of AI with truly educable and intelligent robots and AIs.,,Business,Business Services & SoftwareAI & Big DataAutomation  Pre-seed,1.0,,,Founded: 2018,,5.0,
233,Avuteq Group,"Avuteq offers specialized headhunting and sourcing services for software engineering, software testing, mobile and UI/UX professionals.",,"Business, Consumer",Business Services & SoftwareAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2012,,0.0,
234,Awaait,Real-time video analytics backed by AI. Developer of a real-time fare evasion detector engine for public transit,Subscription,,Business Services & SoftwareAI & Big Data Pre-seed,1.0,,,Founded: 2014,,0.0,
235,Azolla Projects,"Azolla Projects, thanks to its Carbon Farming Program, creates new harvest opportunities for the benefit of farmers, society and the planet. This company achieves the safe transformation of agriculture through the trading of carbon bonds.","Development & Manufacturing, R+D+I Services","Business, Consumer",AgritechNo technology assigned Undisclosed Funding,-1.0,,,Founded: 2020,,0.0,
236,B'Smart,"By mean of a gadget and a platform in the cloud, B'Smart is able to gather KPI in the field and take them to the cloud in real time, without SIM, nor roaming and a battery for 10 years.",Subscription,Business,Logistic TechIoT & Sensors Pre-seed,1.0,,,Founded: 2013,,4.0,
237,B-COME,"B·COME helps clients in the textile and footwear sector drive change in their businesses, with a leading assessment tool that documents and verifies the sourcing and impacts of products throughout the client's supply chains.  

It offers segmented traceability in sustainable fashion and an automated Lifecycle Analysis that parametrizes the value chain impacts. It also provides the end-consumer with a tool that allows more responsible decision-making and builds brand trust and loyalty.",Subscription,Consumer,Fashion & DesignAI & Big Data Pre-seed,1.0,,,Founded: 2019,,1.0,
238,B24IOT,"B24IoT is a startup focoused in technology to measure liquid levels in tanks by ultrasonic technology and IoT communication networks (Sigfox, NB_IoT, LORA WAM) for GLP, chemical and beer sectors.","Development & Manufacturing, Subscription","Business, Consumer",Logistic TechIoT & Sensors Seed,2.0,,,Founded: 2015,,15.0,
239,B4WORK APP MOBILE,b4work app is a platform to search for a job allowing the direct communication between recruiters and candidates facilitating the process.,Subscription,Consumer,Business Services & SoftwareAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2014,,0.0,
240,BACCO WORLD ENTERTAINMENT,Bacco is an app offering all kind of modern experiences and possibilities in a city thanks to an exhaustive city market analysis.,,,Community & Social networkAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2016,,0.0,
241,BACO,Environmental technologies as disinfection solution,"Development & Manufacturing, Marketplace","Business, Consumer",Green & EnergytechFrontier materials Pre-seed,1.0,,,Founded: 2019,,5.0,
242,BADI,"Founded in June 2015 and based in Barcelona, Badi is a marketplace that revolutionizes the way people look for roommates. The platform enables you to list or look for available rooms in shared flats and find roommates according to your age, tastes, and hobbies.    We are the first peer-to-peer marketplace of non-vacational room-rentals in shared flats.    The platform that changes the way people connect, interact and share their homes, by making city center living accessible for everyone.",Marketplace,Consumer,ProptechAI & Big Data Series C,5.0,,,Founded: 2015,,0.0,
243,BALAM INGENIERIA DE SISTEMAS,"Balamis is a company specialized in the development and manufacture of cost-effective airborne and ground-based radars and radiometers. At the present time, the company is focusing on the development of systems that allow very fast and easy soil moisture mapping, using a mobile sensor rather than a network of fixed probes.",,Consumer,AgritechAutomation Undisclosed Funding,-1.0,,,Founded: 2015,,0.0,
244,BALIO,"Balio is an app that creates a personalized plan to achieve financial goals in an automatic and personalized way, helping our users save their first 100,000€, a figure that will provide more freedom and pace in their future. 

 

This goal that motivated the founders to get together and undertake this ambitious project: improve the lives of people through personal finances.","Marketplace, R+D+I Services, Saas",Business,FintechCloud & Edge Computing Seed,2.0,,,Founded: 2019,,5.0,
245,BARCELONA WINK,"Barcelona Wink is an travel agency specialized kids.   We are focused in family holidays, school trips and also kids activities for incentive travel.   We want to offer them unique experiences of Catalonia, its history and culture and visit famous attractions.",Marketplace,,Traveltech & LeisureConnectivity Undisclosed Funding,-1.0,,,Founded: 2017,,0.0,
246,BATECH®,BATECH® Barcelona is a brand of Casual #Polos for men made from technical fabric. 100% comfortable. 100% practical. 100% Catalan.,"Development & Manufacturing, Ecommerce & Trade","Business, Consumer",Fashion & DesignNo technology assigned Pre-seed,1.0,,,Founded: 2016,,3.0,
247,BCIRCULAR COMPOSITES,"bcircular is a spin-off of Spanish National Research Council (CSIC), dedicated to the development and exploitation of technologies for recycling waste companies",,Business,Green & EnergytechAutomation Undisclosed Funding,-1.0,,,Founded: 2016,,0.0,
248,BCN3D,"BCN3D Technologies is one of the leading manufacturers of 3D printing solutions worldwide. Based in Barcelona, the activity of BCN3D began in 2012 as a division of the Fundació CIM, Technology Center of the UPC (Polytechnic University of Catalonia).","Development & Manufacturing, Subscription","ACCURAFY ADVISORY, CENTRE FOR THE DEVELOPMENT OF INDUSTRIAL TECHNOLOGY (CDTI), DANOBATGROUP, JME VENTURES, MONDRAGÓN CORP.",HardwareAdditive manufacturing Series A,3.0,,,Founded: 2018,,0.0,
249,Aulart,Access the knowledge of professional music producers & industry music leaders,Software licence,Consumer,EdtechAI & Big Data Seed,2.0,,,Founded: 2017,,0.0,
250,Aumenta Solutions,"Aumenta Solutions provides augmented reality applications to industry, engineering and architecture professionals. Our developments provide solutions to unresolved issues with conventional technologies, and increase productivity and efficiency in key business processes. Aumenta Solutions has a team of professional and highly-qualified technology partners who offer the best augmented reality solution for your business.","Consultancy & Agency, Development & Manufacturing, R+D+I Services",Business,Business Services & SoftwareAR/VRICT & Mobile AI & Big Data IoT & Sensors Automation  Seed,2.0,,,Founded: 2013,,4.0,
251,Aurocis,"Desenvolupament aplicacions mèdiques d'una plataforma pròpia d'unió de fàrmacs a nanopartícules d'or.  El primer producte del pipeline, Aurocis, està basat en l'unió de nanopartícules d'or al fàrmac antitumoral cisplatí.",Other types of licence,Business,HealthtechFrontier materials Series A,3.0,,,Founded: 2011,,2.0,
252,Authenticitys,"Authenticitys is a platform that connects visitors to local, unforgettable experiences that improve the city. We design experiences with our community of entrepreneurs to make sure that every visit has a positive impact and to develop the local economy by making initiatives that arise from society itself visible.","Consultancy & Agency, Marketplace, Subscription","Business, Consumer",Traveltech & LeisureDLT/BlockchainEcommerce Green & Energytech Sustainable mobility Sports AR/VR AI & Big Data Omic Sciences  Seed,2.0,,,Founded: 2014,,5.0,
253,AutoCloud,"The business model of AutoCloud is the intermediation through a website between car brands, leasing companies and customers or users. The way to monetize is through the commissions generated from the sales of the renting service contracted through our website. We will initially develop this service in the Spanish territory and we believe in its scalability since our value is the platform itself and the technological resource it offers. It is also important to highlight our extensive experience i","Marketplace, Saas, Software licence","Business, Consumer",Sustainable mobilityCloud & Edge Computing Pre-seed,1.0,,,Founded: 2018,,17.0,
254,AutoDiscovery,"We develop and commercialise AutoDiscovery, an automated intelligent exploratory data analysis software that helps biomedical researchers and data scientists in general at unveiling  associations with high clinical/business relevance and statistical significance that are hidden in the data files of their studies.","Consultancy & Agency, Saas, Software licence, Subscription",Business,HealthtechAI & Big DataICT & Mobile Digital Health  Seed,2.0,,,Founded: 2014,,3.0,
255,Autoresp Med,Respiratory health medical devices I+D+I and manufacturing.,"Development & Manufacturing, R+D+I Services, Other types of licence","Business, Consumer",HealthtechAutomation Pre-seed,1.0,,,Founded: 2021,,9.0,
256,Avantled,"Focus on state of the art LED lighting systems. Tailor-made project experience. Over 20 years' experience in lighting projects, now performed 100% with LED systems.",Development & Manufacturing,Business,Green & EnergytechAutomation Pre-seed,1.0,,,Founded: 2014,,3.0,
257,Avatar Cognition,Avatar Cognition is AI LAB team solving the grand AI problem: General Intelligence. Our Computational Fractal Cognition Model is a novel patent-pending computational science and model of the living mind that synthesizes the computational workings produced by neuron-based beings. And its corresponding AI algorithm and technology is a working plausible candidate to be a Master Algorithm for General Intelligence. We want to lead a new era of AI with truly educable and intelligent robots and AIs.,,Business,Business Services & SoftwareAI & Big DataAutomation  Pre-seed,1.0,,,Founded: 2018,,5.0,
258,Avuteq Group,"Avuteq offers specialized headhunting and sourcing services for software engineering, software testing, mobile and UI/UX professionals.",,"Business, Consumer",Business Services & SoftwareAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2012,,0.0,
259,Awaait,Real-time video analytics backed by AI. Developer of a real-time fare evasion detector engine for public transit,Subscription,,Business Services & SoftwareAI & Big Data Pre-seed,1.0,,,Founded: 2014,,0.0,
260,Azolla Projects,"Azolla Projects, thanks to its Carbon Farming Program, creates new harvest opportunities for the benefit of farmers, society and the planet. This company achieves the safe transformation of agriculture through the trading of carbon bonds.","Development & Manufacturing, R+D+I Services","Business, Consumer",AgritechNo technology assigned Undisclosed Funding,-1.0,,,Founded: 2020,,0.0,
261,B'Smart,"By mean of a gadget and a platform in the cloud, B'Smart is able to gather KPI in the field and take them to the cloud in real time, without SIM, nor roaming and a battery for 10 years.",Subscription,Business,Logistic TechIoT & Sensors Pre-seed,1.0,,,Founded: 2013,,4.0,
262,B-COME,"B·COME helps clients in the textile and footwear sector drive change in their businesses, with a leading assessment tool that documents and verifies the sourcing and impacts of products throughout the client's supply chains.  

It offers segmented traceability in sustainable fashion and an automated Lifecycle Analysis that parametrizes the value chain impacts. It also provides the end-consumer with a tool that allows more responsible decision-making and builds brand trust and loyalty.",Subscription,Consumer,Fashion & DesignAI & Big Data Pre-seed,1.0,,,Founded: 2019,,1.0,
263,B24IOT,"B24IoT is a startup focoused in technology to measure liquid levels in tanks by ultrasonic technology and IoT communication networks (Sigfox, NB_IoT, LORA WAM) for GLP, chemical and beer sectors.","Development & Manufacturing, Subscription","Business, Consumer",Logistic TechIoT & Sensors Seed,2.0,,,Founded: 2015,,15.0,
264,B4WORK APP MOBILE,b4work app is a platform to search for a job allowing the direct communication between recruiters and candidates facilitating the process.,Subscription,Consumer,Business Services & SoftwareAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2014,,0.0,
265,BACCO WORLD ENTERTAINMENT,Bacco is an app offering all kind of modern experiences and possibilities in a city thanks to an exhaustive city market analysis.,,,Community & Social networkAI & Big Data Undisclosed Funding,-1.0,,,Founded: 2016,,0.0,
266,BACO,Environmental technologies as disinfection solution,"Development & Manufacturing, Marketplace","Business, Consumer",Green & EnergytechFrontier materials Pre-seed,1.0,,,Founded: 2019,,5.0,
267,BADI,"Founded in June 2015 and based in Barcelona, Badi is a marketplace that revolutionizes the way people look for roommates. The platform enables you to list or look for available rooms in shared flats and find roommates according to your age, tastes, and hobbies.    We are the first peer-to-peer marketplace of non-vacational room-rentals in shared flats.    The platform that changes the way people connect, interact and share their homes, by making city center living accessible for everyone.",Marketplace,Consumer,ProptechAI & Big Data Series C,5.0,,,Founded: 2015,,0.0,
268,BALAM INGENIERIA DE SISTEMAS,"Balamis is a company specialized in the development and manufacture of cost-effective airborne and ground-based radars and radiometers. At the present time, the company is focusing on the development of systems that allow very fast and easy soil moisture mapping, using a mobile sensor rather than a network of fixed probes.",,Consumer,AgritechAutomation Undisclosed Funding,-1.0,,,Founded: 2015,,0.0,
